trade_date,ALPHA,BETA,GAMMA,DELTA,EPSILON
2024-10-01,100.1000,104.1731,98.4168,102.1809,96.3238
2024-10-02,100.4245,104.2534,98.7516,102.5020,96.4602
2024-10-03,100.8200,104.3367,98.9753,102.8580,96.5220
2024-10-04,101.2783,104.4147,99.0709,103.2446,96.5107
2024-10-07,101.7871,104.4793,99.0362,103.6564,96.4314
2024-10-08,102.3314,104.5229,98.8836,104.0875,96.2930
2024-10-09,102.8934,104.5386,98.6390,104.5313,96.1072
2024-10-10,103.4544,104.5210,98.3387,104.9808,95.8304
2024-10-11,103.9953,104.4656,98.0246,105.4287,95.5939
2024-10-14,104.3420,104.3697,97.7400,105.8679,95.3562
2024-10-15,104.7902,104.2323,97.5245,106.2913,95.2481
2024-10-16,105.1721,104.1581,97.4098,106.6921,95.0561
2024-10-17,105.4796,103.9410,97.4168,107.0643,94.9087
2024-10-18,105.7091,103.6890,97.5530,107.2955,94.8176
2024-10-21,105.8621,103.4077,97.8125,107.5952,94.7349
2024-10-22,105.9452,103.1033,98.1759,107.8532,94.7801
2024-10-23,105.9696,102.7834,98.6129,108.0675,94.8989
2024-10-24,105.9500,102.4558,99.0848,108.2373,95.0902
2024-10-25,105.7452,102.1287,99.5484,108.3629,95.3498
2024-10-28,105.6925,101.8103,99.9613,108.4463,95.6699
2024-10-29,105.6527,101.5082,100.2858,108.4903,96.1549
2024-10-30,105.6446,101.2295,100.4940,108.4990,96.5050
2024-10-31,105.6851,101.0815,100.5710,108.4777,96.9347
2024-11-01,105.7882,100.8662,100.5166,108.4323,97.3703
2024-11-04,105.9640,100.6888,100.3457,108.3695,97.7953
2024-11-05,106.2183,100.5513,100.0864,108.2965,98.1932
2024-11-06,106.5524,100.4541,99.7765,108.1124,98.5489
2024-11-07,106.8028,100.3961,99.4594,108.0415,98.8492
2024-11-08,107.2803,100.3748,99.1787,107.9826,99.0243
2024-11-11,107.8134,100.3863,98.9735,107.9429,99.1855
2024-11-12,108.3864,100.4252,98.8747,107.9286,99.3891
2024-11-13,108.9807,100.4852,98.9013,107.9457,99.3977
2024-11-14,109.5767,100.5591,99.0591,107.9990,99.3345
2024-11-15,110.1539,100.7398,99.3399,108.0924,99.2076
2024-11-18,110.6931,100.8183,99.7223,108.2289,99.0283
2024-11-19,111.1773,100.8870,100.1739,108.4103,98.7511
2024-11-20,111.4260,100.9383,100.6545,108.6370,98.5109
2024-11-21,111.7627,100.9655,101.1201,108.9085,98.2647
2024-11-22,112.0169,100.9624,101.5280,109.2230,98.0296
2024-11-25,112.1895,100.9245,101.8411,109.4683,97.8219
2024-11-26,112.2869,100.8484,102.0331,109.8585,97.7738
2024-11-27,112.3201,100.7323,102.0908,110.2797,97.6631
2024-11-28,112.3045,100.5763,102.0164,110.7260,97.5587
2024-11-29,112.2585,100.3819,101.8273,111.1907,97.5848
2024-12-02,112.2023,100.2526,101.5537,111.6668,97.6863
2024-12-03,111.9888,99.9920,101.2352,112.1467,97.8631
2024-12-04,111.9746,99.7065,100.9161,112.6226,98.1118
2024-12-05,112.0098,99.4028,100.6403,113.0869,98.4253
2024-12-06,112.1095,99.0885,100.4465,113.5321,98.7936
2024-12-09,112.2851,98.7714,100.3644,113.9512,99.1447
2024-12-10,112.5435,98.4595,100.4115,114.3379,99.7010
2024-12-11,112.8865,98.1603,100.5913,114.6869,100.1497
2024-12-12,113.3110,97.8810,100.8936,114.8792,100.5920
2024-12-13,113.8090,97.6277,101.2947,115.1406,101.0111
2024-12-16,114.1972,97.4058,101.7603,115.3550,101.3908
2024-12-17,114.8000,97.3165,102.2487,115.5219,101.7169
2024-12-18,115.4281,97.1675,102.7152,115.6421,101.9167
2024-12-19,116.0608,97.0575,103.1170,115.7180,102.1039
2024-12-20,116.6765,96.9859,103.4178,115.7531,102.2128
2024-12-23,117.2545,96.9511,103.5926,115.7521,102.2428
2024-12-24,117.7764,96.9495,103.6305,115.7209,102.3201
2024-12-25,118.2270,96.9767,103.5360,115.6661,102.2064
2024-12-26,118.5958,97.0270,103.3289,115.5950,102.0352
2024-12-27,118.6995,97.0937,103.0415,115.5154,101.7591
2024-12-30,118.8937,97.1695,102.7152,115.4353,101.5163
2024-12-31,119.0069,97.2469,102.3951,115.2472,101.2627
2025-01-01,119.0503,97.4153,102.1253,115.1898,101.0158
2025-01-02,119.0396,97.4727,101.9440,115.1548,100.7926
2025-01-03,118.9938,97.5094,101.8796,115.1491,100.6088
2025-01-06,118.9345,97.5192,101.9478,115.1784,100.4783
2025-01-07,118.8837,97.4970,102.1501,115.2477,100.5326
2025-01-08,118.8631,97.4392,102.4738,115.3610,100.5386
2025-01-09,118.7142,97.3432,102.8933,115.5209,100.6217
2025-01-10,118.8100,97.2085,103.3722,115.7289,100.7829
2025-01-13,118.9850,97.0359,103.8676,115.9853,101.0194
2025-01-14,119.2470,96.8278,104.3339,116.2890,101.3250
2025-01-15,119.5987,96.5880,104.7285,116.6378,101.6902
2025-01-16,120.0376,96.4183,105.0159,117.0281,102.0417
2025-01-17,120.5557,96.1315,105.1728,117.3384,102.4862
2025-01-20,121.1405,95.8313,105.1903,117.7965,102.9467
