trade_date,ALPHA,BETA,DELTA,EPSILON,GAMMA
2024-11-05,0.25,-0.25,0.25,0.0,-0.25
2024-11-06,0.25,-0.25,0.25,0.0,-0.25
2024-11-07,0.25,-0.25,0.25,0.0,-0.25
2024-11-08,0.25,-0.25,0.25,0.0,-0.25
2024-11-11,0.25,-0.25,0.0,0.25,-0.25
2024-11-12,0.25,-0.25,0.0,0.25,-0.25
2024-11-13,0.25,-0.25,0.0,0.25,-0.25
2024-11-14,0.25,-0.25,0.0,0.25,-0.25
2024-11-15,0.25,-0.25,0.0,0.25,-0.25
2024-11-18,0.25,-0.25,0.0,0.25,-0.25
2024-11-19,0.25,-0.25,-0.25,0.25,0.0
2024-11-20,0.25,-0.25,-0.25,0.25,0.0
2024-11-21,0.25,-0.25,-0.25,0.25,0.0
2024-11-22,0.25,-0.25,-0.25,0.25,0.0
2024-11-25,0.25,-0.25,-0.25,0.25,0.0
2024-11-26,0.25,-0.25,0.0,0.25,-0.25
2024-11-27,0.25,-0.25,0.25,-0.25,0.0
2024-11-28,0.25,-0.25,0.25,-0.25,0.0
2024-11-29,0.25,-0.25,0.25,-0.25,0.0
2024-12-02,0.25,-0.25,0.25,-0.25,0.0
2024-12-03,0.25,-0.25,0.25,-0.25,0.0
2024-12-04,0.25,-0.25,0.25,-0.25,0.0
2024-12-05,0.25,-0.25,0.25,-0.25,0.0
2024-12-06,0.25,-0.25,0.25,-0.25,0.0
2024-12-09,0.25,-0.25,0.25,-0.25,0.0
2024-12-10,0.25,-0.25,0.25,-0.25,0.0
2024-12-11,0.25,-0.25,0.25,-0.25,0.0
2024-12-12,0.25,-0.25,0.25,-0.25,0.0
2024-12-13,0.25,-0.25,0.25,-0.25,0.0
2024-12-16,0.25,-0.25,0.25,-0.25,0.0
2024-12-17,0.25,-0.25,0.25,0.0,-0.25
2024-12-18,0.25,-0.25,0.25,0.0,-0.25
2024-12-19,0.25,-0.25,0.25,0.0,-0.25
2024-12-20,0.25,-0.25,0.25,0.0,-0.25
2024-12-23,0.0,-0.25,0.25,0.25,-0.25
2024-12-24,0.0,-0.25,0.25,0.25,-0.25
2024-12-25,0.0,-0.25,0.25,0.25,-0.25
2024-12-26,0.0,-0.25,0.25,0.25,-0.25
2024-12-27,0.25,-0.25,0.25,0.0,-0.25
2024-12-30,0.25,-0.25,0.25,0.0,-0.25
2024-12-31,0.25,-0.25,0.25,0.0,-0.25
2025-01-01,0.25,-0.25,0.25,0.0,-0.25
2025-01-02,0.25,-0.25,0.25,0.0,-0.25
2025-01-03,0.25,-0.25,0.25,0.0,-0.25
2025-01-06,0.25,-0.25,0.25,0.0,-0.25
2025-01-07,0.25,-0.25,0.25,-0.25,0.0
2025-01-08,0.25,-0.25,0.25,-0.25,0.0
2025-01-09,0.25,-0.25,0.0,-0.25,0.25
2025-01-10,0.25,-0.25,0.0,-0.25,0.25
2025-01-13,0.25,-0.25,0.0,-0.25,0.25
2025-01-14,0.25,-0.25,0.0,-0.25,0.25
2025-01-15,0.25,-0.25,0.0,-0.25,0.25
2025-01-16,0.25,-0.25,0.25,-0.25,0.0
2025-01-17,0.25,-0.25,0.25,-0.25,0.0
2025-01-20,0.25,-0.25,0.25,-0.25,0.0
